facility_name,license_number,municipality,zip_code,product_count
Dank On Arrival,AU-R-000145,Bay City,48706,2
Depot Town Cannabis Company,AU-R-000292,Ypsilanti,48198,2
Dispo,AU-R-000153,Bay City,48706,33
Dispo Romeo,AU-R-000716,Romeo,48065,77
Dreams Canna,AU-R-001010,Southfield,48034,63
Elite Cannabis,AU-R-000551,Bay City,48706,90
Elite Cannabis Saginaw,AU-R-001114,Saginaw,48602,9
Elite Wellness Jackson,AU-R-000282,Jackson,49201,67
Elite Wellness Mount Morris,AU-R-000103,Mt. Morris,48458,50
Endo,AU-R-000653,Adrian,49221,94
Exclusive Cannabis Cookies,AU-R-000718,Monroe,48161,47
Exclusive Coldwater,AU-R-000863,Coldwater,49036,32
Exclusive Provisioning Centers,AU-R-000100,Ann Arbor,48108,1
Fire Creek,AU-R-000321,Battle Creek,49014,37
First Class Cannabis Co.,AU-R-000320,Lansing,48906,62
First Class Cannabis Co.,AU-R-000482,Portage,49002,63
First Class Cannabis Co.,AU-R-000552,Camden,49232,91
First Class Cannabis Co.,AU-R-000824,Jackson,49201,53
Flavor Galaxy LLC,AU-P-000373,Hazel Park,48030,452
Flora East Lansing,AU-R-000941,E Lansing,48823,30
Gatsby Cannabis Co.,AU-R-001000,Battle Creek,49014,66
Gramz Cannabis,AU-R-000842,Mt. Morris,48458,15
"Green Acres Collective, LLC",AU-R-001008,Inkster,48141,27
Green Acres Ecorse,AU-R-001096,Ecorse,48229,8
Green Buddha of Ferndale,AU-R-000241,Ferndale,48220,30
"Green Genie 3, Inc.",PC-000763,Detroit,48228,7
Green Genie Inc,PC-000009,Detroit,48219,14
Green House of Walled Lake,AU-R-000128,Walled Lake,48390,2
Green Labs Provisions,AU-R-000801,Luna Pier,48157,55
"Green Mountain Monroe, LLC",AU-R-001078,Monroe,48161,4
Green Pharm,AU-R-000624,Hazel Park,48030,2
Green Pharm Bay City,AU-R-000218,Bay City,48706,58
Greencare Provisioning Center,AU-R-000220,River Rouge,48218,72
H.O.D. Monroe,AU-R-000805,Monroe,48161,339
Hashish Boyz,AU-R-000325,Bay City,48706,70
Hayat CC,AU-R-000435,Hazel Park,48030,62
Herbology Cannabis Co,AU-R-000126,River Rouge,48218,33
Herbology Cannabis Co. Express,AU-R-000266,River Rouge,48218,22
Herbology Cannabis Co. W. Branch,AU-R-001079,West Branch,48661,19
Herbology Cannabis Co. Ypsilanti,AU-R-000993,Ypsilanti,48197,19
High Club Cannabis,AU-R-000897,Detroit,48238,5
Holistic Health Wayne Inc,AU-R-000303,Wayne,48184,70
Holistic Industries,AU-P-000175,Madison Heights,48071,12
House of Dank - Lapeer,AU-R-000352,Lapeer,48446,36
House of Dank - Saginaw,AU-R-000591,Saginaw,48601,34
House of Dank 2,AU-R-000895,Detroit,48217,54
House of Dank Center Line,AU-R-000391,Center Line,48015,86
House of Dank Grand Rapids,AU-R-000831,Grand Rapids,49546,37
"House of Dank Michigan, LLC",AU-R-000894,Detroit,48234,47
House of Dank TC,AU-R-000958,Traverse City,49686,34
House of Dank Ypsilanti,AU-R-000876,Ypsilanti,48198,40
House of Zen,AU-R-000896,Detroit,48215,5
Jade Collection of Morenci,AU-R-000610,Morenci,49256,49
"JAR Capital, LLC",AU-R-000927,Monroe,48161,21
